"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20152016",4977.03,82,215,188,27,236.15,202.97,33.18,2485,2259,226,3568,3206,362,4738,4384,354
"ARI","20152016",4956.22,82,208,244,-36,200.43,224.14,-23.7,2266,2541,-275,3200,3640,-440,4357,4790,-433
"BOS","20152016",4978.52,82,236,228,8,211.29,221.41,-10.13,2619,2492,127,3555,3528,27,4691,4712,-21
"BUF","20152016",4991.12,82,199,215,-16,201.83,211.97,-10.13,2418,2513,-95,3284,3507,-223,4325,4602,-277
"CAR","20152016",5004.65,82,196,221,-25,224.11,215.22,8.9,2450,2262,188,3480,3249,231,4679,4229,450
"CBJ","20152016",4985.28,82,213,248,-35,238.12,240.14,-2.02,2387,2549,-162,3259,3539,-280,4358,4799,-441
"CGY","20152016",4973.22,82,229,257,-28,219.38,220.89,-1.51,2398,2376,22,3294,3382,-88,4532,4702,-170
"CHI","20152016",4972.58,82,234,207,27,220.95,228.74,-7.79,2497,2527,-30,3346,3399,-53,4591,4532,59
"COL","20152016",4858.47,82,212,240,-28,193.88,242.4,-48.53,2349,2650,-301,3169,3704,-535,4189,5105,-916
"DAL","20152016",4968.4,82,265,228,37,259.64,228.79,30.85,2626,2372,254,3747,3438,309,5090,4662,428
"DET","20152016",4992.85,82,209,219,-10,223.52,226.51,-2.98,2433,2439,-6,3371,3331,40,4459,4240,219
"EDM","20152016",4981.87,82,199,242,-43,215.39,240.34,-24.95,2387,2549,-162,3283,3549,-266,4513,4782,-269
"FLA","20152016",4986.23,82,232,200,32,215.75,202.16,13.59,2360,2417,-57,3216,3313,-97,4104,4255,-151
"L.A","20152016",4984.62,82,223,192,31,232.88,217.33,15.55,2625,2255,370,3847,3174,673,5133,4201,932
"MIN","20152016",4978.5,82,213,204,9,208.04,194.67,13.37,2375,2347,28,3277,3351,-74,4379,4560,-181
"MTL","20152016",4973.8,82,216,233,-17,220.01,218.3,1.71,2505,2408,97,3433,3305,128,4713,4449,264
"N.J","20152016",4991.3,82,182,202,-20,187.97,215.03,-27.06,2001,2348,-347,2779,3181,-402,3592,4235,-643
"NSH","20152016",4980.22,82,224,213,11,217.28,186.49,30.79,2507,2243,264,3469,3039,430,4619,4271,348
"NYI","20152016",5005.05,82,227,211,16,234.99,236.17,-1.18,2411,2494,-83,3353,3406,-53,4603,4728,-125
"NYR","20152016",4974.48,82,233,215,18,221.76,243.71,-21.95,2336,2494,-158,3272,3504,-232,4365,4818,-453
"OTT","20152016",5003.58,82,230,241,-11,206.6,237.35,-30.74,2325,2688,-363,3252,3673,-421,4475,4869,-394
"PHI","20152016",5012.58,82,211,210,1,231.14,226.97,4.17,2542,2519,23,3555,3407,148,4903,4716,187
"PIT","20152016",4984.73,82,241,199,42,248.16,199.42,48.73,2722,2436,286,3638,3298,340,4831,4389,442
"S.J","20152016",4875.9,82,237,207,30,244.22,201.94,42.28,2491,2245,246,3506,3115,391,4722,4407,315
"STL","20152016",5005.07,82,219,197,22,211.15,219.76,-8.61,2473,2441,32,3391,3330,61,4494,4457,37
"T.B","20152016",4966.73,82,224,198,26,199.43,198.07,1.35,2403,2367,36,3397,3322,75,4551,4349,202
"TOR","20152016",4996.53,82,192,240,-48,237.09,219.21,17.89,2515,2503,12,3703,3523,180,5036,4558,478
"VAN","20152016",5004.35,82,186,239,-53,199.88,247.55,-47.67,2311,2667,-356,3169,3606,-437,4218,4664,-446
"WPG","20152016",4971.38,82,212,236,-24,218.69,234.69,-15.99,2429,2422,7,3366,3330,36,4558,4463,95
"WSH","20152016",4982.7,82,248,191,57,231.81,209.22,22.6,2510,2333,177,3496,3326,170,4702,4592,110
